Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Latvia,2021,7240.49647681672,250.341440458049,1889.56980311644,10725.2920256019,2020,2020s,0.6750861850225831,0.1761788675409421,0.023341223703790003,3.4369528178763042,240.58369945056984,-0.4438044813877995,-8.423378797770056,5.672453959729262,13.438225781637982,2.3098907435210814,242.14914698329994,284980.0070142597,72913.0149005179,4116.886437457581,400406.0786535896,High,Other,7297.018681913872,7394.073400510168,1902.8204112166502,1930.364478424266,243.531715230087,247.79785916371839,10780.1000227783,10877.745830883021
Liechtenstein,2021,145.883912755427,7.99348229998211,21.8077411831664,183.904220870403,2020,2020s,0.7932602746417177,0.11858205907375165,0.04346546404508629,2.7862692795464383,3.954534660509978,-1.2262620420637083,-0.27074003463810214,-7.359369832825435,-0.6350020762116602,1.6767964784745626,3.032844863453022,6260.754741616644,670.076798504324,177.33340159107956,7384.181370381359,Low,Other,145.61170371425166,147.110982102239,21.933562431525733,21.56552891407948,8.562105270076033,8.863304126078154,184.36611216294799,185.7445413633758
Lithuania,2021,13829.6745051854,512.853922539436,3301.10271867869,20251.5112480824,2020,2020s,0.6828959249396719,0.16300525320011705,0.025324229696092323,2.149405247620262,291.0009596460004,-0.6223525648330952,-20.673157362549773,2.246625967813931,11.26874289656297,0.4253993513109844,85.78486920290015,498292.6621418078,144924.26989899724,6706.622811314579,752162.9108345354,High,Other,13682.0410462114,13553.41133505462,3349.3862105200765,3444.925336426696,515.725566575456,551.5491389312119,20220.62527997163,20204.04162701316
Luxembourg,2021,8429.71345657012,43.6941148548245,663.177117543914,9390.72993432681,2020,2020s,0.8976632823563804,0.07062040141520214,0.004652898673521142,4.487323716675173,362.02337061492017,-0.6964819616567253,-4.651304494312967,-3.667008772101954,-1.6632588734094043,3.9959556091450743,360.8307624584195,327208.31090136926,21253.044285938075,1164.1004308785787,357285.8036527072,High,Other,8755.675366938423,9021.784681705618,662.9520198973304,667.1403467747476,46.16755243397784,51.0750901379244,9720.207352313866,9996.7268297267
Malta,2021,1606.72741011375,228.800901781676,241.701851538507,2133.61873682644,2020,2020s,0.7530527279225191,0.11328258763700963,0.10723607635823265,0.5964839563380675,9.52704393483009,3.9324613082348803,9.14520032855799,1.604788348746311,3.6137767454580114,1.030353772109649,21.75962007113003,75810.35034027018,6323.838354945779,2983.822307874114,87004.89397889964,Medium,Other,1617.5640235170533,1586.053146897972,233.02796840088968,221.925758333764,224.898658729331,230.01457565983702,2131.8011707183337,2092.317767314634
Monaco,2021,64.4187678464187,5.58085290571414,0.661563651731,73.6327618951857,2020,2020s,0.8748655651151199,0.008984637200933987,0.07579306767900867,6.4289933278955935,3.8913064544352025,-8.105298848222331,-0.05835125461200008,-0.9835459711417971,-0.055435487412530016,5.5491760527770495,3.8711923132804884,2797.823836868555,44.64610888244025,122.34615087564778,3071.0014658698346,Low,Other,65.35551090571916,68.65018663758974,0.8195837672253333,1.02988509112775,6.329721290106903,6.563186238989386,75.4678814679961,79.28081505083732
Netherlands (Kingdom of the),2021,139906.958386119,1172.45032271632,18715.262036838,167153.245110316,2020,2020s,0.8369981587481876,0.11196469458003346,0.0070142241147788595,2.357500621502573,3222.340711184981,-1.361407266380854,-258.3075551166985,10.967059611792717,115.87522122401992,1.694645795895866,2785.4518974880048,5399267.824922103,808279.9602169726,99437.81288123592,6716435.881153784,Very High,Other,143033.6610674913,149887.4926234314,18986.856227110835,19283.821066351302,1177.2730311030666,1274.961485745056,170819.30113308967,178241.740301134
New Zealand,2021,34318.0029765366,1483.22254410846,33019.3455811991,76824.5871817898,2020,2020s,0.4467059861360531,0.4298017964361529,0.01930661261607192,0.2356420009683724,80.67751878669515,-1.1526083732245285,-385.0215323736993,2.6590680286348922,38.41832701315002,-0.65442824637576,-506.07368783990387,1064443.6576440646,1093654.540802515,22312.52392751896,2415832.236083852,High,Other,35144.7547322691,35365.12849846728,33327.0000190177,33413.45085020698,1441.0312013040002,1407.1123341637299,78048.34717300847,78286.54862992329
Norway,2021,40662.9143089464,628.423105390803,5256.60733871831,48901.9553322613,2020,2020s,0.8315191904426878,0.10749278434783675,0.01285067439780314,-0.5564061239747953,-227.51686316130508,-0.6025665313126427,-31.866573814120784,-16.187572167622587,-121.37393741486801,-0.635339598760909,-312.68006707780296,1329236.257476934,204577.73772272834,17523.181992512014,1690361.7974740118,High,Other,41332.910722628,42361.13397888638,5281.646771919133,5388.523013419353,750.9059292451398,833.002028047892,49691.60308367567,50891.31851705892
Poland,2021,331077.163141235,4937.26452059243,42704.7105092958,399438.489013172,2020,2020s,0.8288564378439688,0.10691185672867784,0.012360512710705797,9.469760606883693,28640.068818753993,-1.1192827684049278,-483.397045865102,-3.4649217394510656,-177.2126306734699,7.574768199237658,28126.056088958983,10721903.409633677,1672406.8134233784,104718.18008823806,13200685.231737247,Very High,Europe & Central Asia,317065.5948081137,324808.621219963,43142.4388504906,44348.77738498502,5118.771693355514,5341.797354102458,385712.428441937,395028.8817276716
