Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Czechia,1994,132668.035665436,0.0,21514.8812081802,159410.637890244,1990,1990s,0.8322407928433198,0.13496515347359336,0.0,-5.321000659034681,-7456.000909625,-6.161031356194046,-1412.5672912235023,,0.0,-5.295173793037056,-8913.030791515019,731631.580917662,120160.2854807887,0.0,882404.089670458,Very High,Other,139499.29051080035,146326.3161835324,22638.96041650287,24032.05709615774,0.0,0.0,167589.71757006965,176480.8179340916
Czechia,1995,131622.223358033,86.8663185315838,21157.0346041929,158371.950516667,1990,1990s,0.8310955502450613,0.1335907939200783,0.0005484956032188416,-0.7882925997640844,-1045.8123074030154,-1.663251590955761,-357.8466039872983,inf,86.8663185315838,-0.6515797109425847,-1038.6873735769768,863253.804275695,141317.3200849816,86.8663185315838,1040776.040187125,Very High,Other,134804.76519951,139800.673652938,21866.454770592263,22900.7498234339,28.955439510527935,17.37326370631676,162035.41902955668,168400.153731061
Czechia,1996,135018.671764886,215.431109279601,21155.5767290314,161709.651276075,1990,1990s,0.8349450431649164,0.13082445334641182,0.0013322093491613023,2.5804520849143753,3396.4484068530146,-0.006890734872699866,-1.4578751615008514,148.00303837127876,128.5647907480172,2.107507515389684,3337.700759407977,998272.476040581,162472.896814013,302.2974278111848,1202485.6914632,Very High,Other,133102.97692945166,137027.753331064,21275.830847134832,22045.89851654658,100.76580927039493,60.45948556223696,159830.74656099532,164570.1509005902
Czechia,1997,130941.620504211,388.923908286244,20547.8784396059,157200.367652405,1990,1990s,0.8329600144049518,0.13071138920642048,0.002474064877165024,-3.0196203290864587,-4077.0512606750126,-2.872520551952451,-607.6982894254979,80.5328439271379,173.492799006643,-2.7885061825850044,-4509.283623669995,1129214.096544792,183020.7752536189,691.2213360974288,1359686.059115605,Very High,Other,132527.50520904333,134074.9175735254,20953.4965909434,21460.56389608282,230.40711203247625,138.24426721948575,159093.989815049,161003.25520343002
Czechia,1998,125608.818384632,529.342062016024,19653.1558687785,151034.594195379,1990,1990s,0.8316559464657739,0.13012353873944332,0.0035047736237915454,-4.072656271584396,-5332.802119578992,-4.354330659766948,-894.7225708274018,36.10427405929328,140.41815372978,-3.922238573041703,-6165.773457025993,1254822.914929424,202673.9311223974,1220.5633981134529,1510720.653310984,Very High,Other,130523.03688457633,131171.87393543957,20452.2036791386,20805.70536995778,377.8990265272896,244.11267962269056,156648.20437461967,157545.44030615402
Czechia,1999,116671.891350075,635.899512399311,18686.7037470754,141062.007515232,1990,1990s,0.8270964904386228,0.13247155684394749,0.004507943163439284,-7.114888229575456,-8936.927034556997,-4.91754163125745,-966.4521217030997,20.130168756561307,106.557450383287,-6.602849322881898,-9972.586680147011,1371494.806279499,221360.6348694728,1856.4629105127638,1651782.660826216,Very High,Other,124407.44341297267,127972.64507236739,19629.246018486603,20240.069877736823,518.0551609005264,371.29258210255273,149765.65645433866,153875.7142311516
Czechia,2000,127235.987122808,799.772994278663,17614.6994206362,151139.209533758,2000,2000s,0.8418463184723018,0.11654619257950952,0.005291631448555566,9.054533744580628,10564.095772732995,-5.736722436170572,-1072.0043264392007,25.770342433671843,163.87348187935197,7.143810155571373,10077.202018526004,1498730.793402307,238975.334290109,2656.235904791427,1802921.870359974,Very High,Other,123172.23228583834,127095.39782532239,18651.519678830035,19531.60284102548,655.0048562313326,513.8739172519686,147745.27041478967,152429.1660345698
Czechia,2001,127144.369367362,997.941713359019,16951.0122292252,150760.152661183,2000,2000s,0.8433552707598081,0.11243695320023157,0.0066193997269410046,-0.07200616548647121,-91.61775544600096,-3.7678031033187342,-663.6871914109979,24.77812085404181,198.16871908035603,-0.25079982470751494,-379.05687257499085,1625875.162769669,255926.3465193342,3654.1776181504456,1953682.023021157,Very High,Other,123684.08261341501,125520.53734581759,17750.805132312267,18690.68994106424,811.2047400123311,670.3760380678522,147653.789903391,150239.2663115914
Czechia,2002,123969.963358599,1098.28438408073,16586.8889202263,146965.749430718,2000,2000s,0.8435296240029071,0.1128622756286874,0.00747306354259418,-2.49669413168514,-3174.406008763006,-2.148091831183485,-364.12330899890003,10.054963068330203,100.34267072171099,-2.5168475644837818,-3794.4032304650173,1749845.126128268,272513.2354395605,4752.462002231176,2100647.772451875,Very High,Other,126116.773282923,124126.20591669521,17050.8668566959,17898.49203718832,965.3330305728041,812.2481332267495,149621.70387521965,148192.342667254
Czechia,2003,127571.696721971,1211.47908077428,16439.9242029856,150152.892482296,2000,2000s,0.849611982912767,0.10948789551239563,0.008068303319012793,2.905327440449046,3601.733363372012,-0.8860294293132398,-146.96471724070216,10.306501515843248,113.19469669354999,2.1686298092743694,3187.143051578023,1877416.822850239,288953.1596425461,5963.941083005456,2250800.664934171,Very High,Other,126228.67648264399,124518.781584163,16659.275117479036,17255.84570402974,1102.5683927380096,948.6755369784007,149292.93152473235,148016.0023246374
Czechia,2004,128291.627781624,1327.48084581678,15896.4705517257,151009.988671731,2000,2000s,0.8495572306843047,0.10526767594348885,0.008790682374677138,0.5643344708521125,719.9310596529976,-3.3056943848999265,-543.4536512598988,9.575218167891176,116.00176504249998,0.5708156368256834,857.0961894349894,2005708.450631863,304849.6301942718,7291.421928822236,2401810.653605902,Very High,Other,126611.09595406467,126842.7288704728,16307.761224979202,16697.7990649598,1212.41477022393,1086.9918036618944,149376.21019491498,150005.5985559372
Czechia,2005,125690.736604182,1346.93283553064,16531.5698564545,148934.987994807,2000,2000s,0.8439302161058659,0.11099856440066934,0.00904376368283324,-2.027327287380898,-2600.8911774419976,3.99522210079426,635.0993047287975,1.4653311025283777,19.45198971386003,-1.3740817380197945,-2075.0006769240135,2131399.187236045,321381.2000507263,8638.354764352876,2550745.641600709,Very High,Other,127184.68703592567,126533.67876674762,16289.321537055264,16481.17315212346,1295.2975873739,1196.4237719122898,150032.62304961134,149564.754248147
Czechia,2006,126555.141040827,1586.28871426034,16753.8627426574,150166.773153678,2000,2000s,0.8427639376076407,0.11156837422025308,0.010563513358823795,0.6877232642586328,864.4044366449962,1.3446568482793575,222.29288620290026,17.770439060935274,239.35587872969995,0.8270623145408607,1231.7851588710037,2257954.328276872,338135.0627933837,10224.643478613216,2700912.414754387,Very High,Other,126845.83514221101,126415.8331014406,16393.967716945863,16441.7432548099,1420.2341318692534,1314.093172092554,150037.24994007198,149446.07834664598
Czechia,2007,128382.08761628,1943.84809825611,16196.9122568752,151829.891176814,2000,2000s,0.8455653008851347,0.10667802058827158,0.012802802420456161,1.4435972813333642,1826.9465754529956,-3.324310902727734,-556.9504857821994,22.540624590050996,357.5593839957701,1.107513991416731,1663.1180231360195,2386336.415893152,354331.9750502589,12168.491576869324,2852742.305931201,Very High,Other,126875.98842042965,127298.25795297681,16494.114951995696,16363.747922139679,1625.6898826823633,1483.20591492763,150310.55077509966,150418.90669586518
