Country or Area,Year,Value,Gas_Type
Finland,1998,59351.4594744727,co2
Finland,1997,62696.1679220393,co2
Finland,1996,64033.0556500885,co2
Finland,1995,58115.5152700716,co2
Finland,1994,61732.6645060394,co2
Finland,1993,56313.3648421308,co2
Finland,1992,54265.0554531443,co2
Finland,1991,55188.7528481182,co2
Finland,1990,56914.327998446,co2
France,2021,320908.304722352,co2
France,2020,296194.913513901,co2
France,2019,331725.372279835,co2
France,2018,338250.813946658,co2
France,2017,352727.321650415,co2
France,2016,349938.184960694,co2
France,2015,346625.558473672,co2
France,2014,341998.780790828,co2
France,2013,372705.769395231,co2
France,2012,370610.915012908,co2
France,2011,368238.754126051,co2
France,2010,390493.651072731,co2
France,2009,384313.688187148,co2
France,2008,402262.8857589,co2
France,2007,408901.496223998,co2
France,2006,418577.048470179,co2
France,2005,428222.044075897,co2
France,2004,425179.003627194,co2
France,2003,423470.891751765,co2
France,2002,417201.997856197,co2
France,2001,421348.585254351,co2
France,2000,416290.477578322,co2
France,1999,421812.88155472,co2
France,1998,423036.80863324,co2
France,1997,404134.04043635,co2
France,1996,411161.669947263,co2
France,1995,394610.71349932,co2
France,1994,389176.335097612,co2
France,1993,395700.956942667,co2
France,1992,414465.477632533,co2
France,1991,424117.582771393,co2
France,1990,399166.166653305,co2
Germany,2021,678798.872187656,co2
Germany,2020,647252.332890317,co2
Germany,2019,707491.364989861,co2
Germany,2018,754811.138095725,co2
Germany,2017,785985.850965468,co2
Germany,2016,801744.547450223,co2
Germany,2015,798084.702360403,co2
Germany,2014,794738.545641846,co2
Germany,2013,833804.3671132,co2
Germany,2012,812815.529922735,co2
Germany,2011,807613.931820731,co2
Germany,2010,831129.584347446,co2
Germany,2009,788285.819812203,co2
Germany,2008,852857.862590857,co2
Germany,2007,850229.804374469,co2
Germany,2006,877497.664533622,co2
Germany,2005,865470.707091765,co2
Germany,2004,885632.527768442,co2
Germany,2003,899858.375121708,co2
Germany,2002,898834.508615622,co2
Germany,2001,915242.151883378,co2
Germany,2000,898938.03601459,co2
Germany,1999,895402.127914451,co2
Germany,1998,923466.992547199,co2
Germany,1997,931486.945551753,co2
Germany,1996,959653.347901464,co2
Germany,1995,939897.145200735,co2
Germany,1994,943184.836504026,co2
Germany,1993,959367.197862509,co2
Germany,1992,969474.183105337,co2
Germany,1991,1016870.29143817,co2
Germany,1990,1054740.6436309,co2
Greece,2021,57556.3286034507,co2
Greece,2020,55619.7699188279,co2
Greece,2019,65759.4803494355,co2
Greece,2018,71780.9019494892,co2
Greece,2017,74843.4435127421,co2
Greece,2016,71361.0012597957,co2
Greece,2015,74927.6314407955,co2
Greece,2014,78636.4546529925,co2
Greece,2013,81713.2598699917,co2
Greece,2012,91392.5891275176,co2
Greece,2011,94505.232097114,co2
Greece,2010,97354.1500341358,co2
Greece,2009,104319.842936133,co2
Greece,2008,111080.37419613,co2
Greece,2007,114545.692006628,co2
Greece,2006,112419.544706665,co2
Greece,2005,113888.965296394,co2
Greece,2004,109485.277281552,co2
Greece,2003,109066.727929603,co2
Greece,2002,105000.510380002,co2
Greece,2001,105361.862231588,co2
Greece,2000,102973.166536014,co2
Greece,1999,97934.8147311808,co2
Greece,1998,98621.792697393,co2
Greece,1997,93801.5577653188,co2
Greece,1996,89114.9547845619,co2
Greece,1995,86963.2041964421,co2
Greece,1994,86430.2584258489,co2
Greece,1993,84284.9583294909,co2
Greece,1992,84975.6537122107,co2
Greece,1991,83407.4983800825,co2
Greece,1990,83438.039765697,co2
Hungary,2021,48563.8563289726,co2
Hungary,2020,47335.4689645989,co2
Hungary,2019,49310.4854968512,co2
Hungary,2018,49534.4098963676,co2
Hungary,2017,49580.3257451885,co2
Hungary,2016,47178.5008655333,co2
Hungary,2015,46717.4037438282,co2
Hungary,2014,43791.7766905256,co2
Hungary,2013,43669.6207389941,co2
Hungary,2012,46818.7204085027,co2
Hungary,2011,50253.1234637353,co2
Hungary,2010,52087.459905797,co2
Hungary,2009,51542.2466689845,co2
Hungary,2008,57326.3057341899,co2
Hungary,2007,58631.3487815677,co2
Hungary,2006,59709.7864443032,co2
Hungary,2005,60400.7267269958,co2
Hungary,2004,60251.7250297118,co2
Hungary,2003,61860.7487948806,co2
Hungary,2002,59086.0395042691,co2
Hungary,2001,60108.9847015425,co2
Hungary,2000,58505.9870284458,co2
Hungary,1999,61806.189263095,co2
Hungary,1998,61312.880743353,co2
Hungary,1997,61711.7158853574,co2
Hungary,1996,63158.1123281622,co2
Hungary,1995,61601.1105061529,co2
Hungary,1994,61888.9938012172,co2
Hungary,1993,63558.4094800917,co2
Hungary,1992,62348.0176035016,co2
Hungary,1991,69701.9381994529,co2
Hungary,1990,73376.8253529764,co2
Iceland,2021,3510.05069048688,co2
Iceland,2020,3339.560581747,co2
Iceland,2019,3558.74072713258,co2
Iceland,2018,3668.95852163044,co2
Iceland,2017,3612.18889913732,co2
Iceland,2016,3495.52018156646,co2
Iceland,2015,3543.71325448561,co2
Iceland,2014,3446.71672568902,co2
Iceland,2013,3490.09979142662,co2
Iceland,2012,3501.2996210945,co2
Iceland,2011,3504.6976259864,co2
Iceland,2010,3627.41852729365,co2
Iceland,2009,3731.08002833709,co2
Iceland,2008,3812.81631714887,co2
Iceland,2007,3495.13434635032,co2
Iceland,2006,3155.84507642697,co2
Iceland,2005,2978.47607830068,co2
Iceland,2004,3109.79262015713,co2
Iceland,2003,2985.95708795484,co2
Iceland,2002,2992.46566578105,co2
Iceland,2001,2865.42654907452,co2
Iceland,2000,2933.18952486257,co2
Iceland,1999,2841.36625000613,co2
Iceland,1998,2638.67800460933,co2
Iceland,1997,2619.43451917109,co2
Iceland,1996,2523.72372943634,co2
Iceland,1995,2469.33700345724,co2
Iceland,1994,2349.66443026176,co2
Iceland,1993,2400.94000805432,co2
Iceland,1992,2250.16618761429,co2
Iceland,1991,2103.61396483679,co2
Iceland,1990,2222.78736751314,co2
Ireland,2021,37547.2849970332,co2
Ireland,2020,35123.7751415184,co2
Ireland,2019,37325.752057404,co2
Ireland,2018,39012.5575563339,co2
Ireland,2017,39078.276554119,co2
Ireland,2016,40369.6774540593,co2
Ireland,2015,38718.5463658255,co2
Ireland,2014,36853.2113135941,co2
Ireland,2013,37281.8676451007,co2
Ireland,2012,38227.2013942766,co2
Ireland,2011,38056.3669505705,co2
Ireland,2010,41793.2242955238,co2
Ireland,2009,42179.0934497229,co2
Ireland,2008,47362.8260312447,co2
Ireland,2007,47664.0881407767,co2
Ireland,2006,47604.4461397548,co2
Ireland,2005,48156.201621632,co2
Ireland,2004,46166.7845679182,co2
Ireland,2003,45684.1086560293,co2
Ireland,2002,46081.5859658651,co2
Ireland,2001,47607.6198511006,co2
Ireland,2000,45249.1102190884,co2
Ireland,1999,42440.1828500454,co2
Ireland,1998,40708.971449999,co2
Ireland,1997,38804.985267028,co2
Ireland,1996,37469.2701540163,co2
Ireland,1995,35852.9867109519,co2
Ireland,1994,34838.4467356311,co2
Ireland,1993,33716.3644975894,co2
Ireland,1992,33495.3151366727,co2
Ireland,1991,33674.30740013,co2
Ireland,1990,32944.4202164772,co2
Italy,2021,337229.883985225,co2
Italy,2020,303281.27169295,co2
Italy,2019,340402.522237771,co2
Italy,2018,349826.897871833,co2
Italy,2017,353418.593791965,co2
Italy,2016,358814.015766045,co2
Italy,2015,361935.924442637,co2
Italy,2014,350126.681603186,co2
Italy,2013,370253.537308923,co2
Italy,2012,404260.612758555,co2
Italy,2011,424739.246178946,co2
Italy,2010,436534.301035471,co2
Italy,2009,424952.655649956,co2
Italy,2008,479077.162050749,co2
Italy,2007,490653.34139326,co2
